@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
823,'2022/02/21 23:49:38:201',4,0.28262,0.456739,0.36309,0.398313,0.372725,0.38221,0.342496,0.416709,0.320241,0.417705,0.299489,0.413227,1
824,'2022/02/21 23:49:38:320',4,0.264311,0.5816,0.314522,0.416407,0.332842,0.292627,0.291123,0.476188,0.268636,0.476131,0.248582,0.29315,1
825,'2022/02/21 23:49:38:418',4,0.256833,0.520471,0.320526,0.292642,0.352178,0.266964,0.328488,0.256887,0.304091,0.252867,0.270831,0.206451,1
826,'2022/02/21 23:49:38:475',4,0.278947,0.4553,0.316682,0.249673,0.343229,0.307176,0.324401,0.301215,0.311173,0.290152,0.292532,0.156376,1
827,'2022/02/21 23:49:38:561',4,0.302029,0.440749,0.323418,0.261691,0.390984,0.209333,0.348535,0.304383,0.335059,0.271278,0.304719,0.09276,1
828,'2022/02/21 23:49:38:662',4,0.313934,0.434776,0.340525,0.270805,0.414237,0.13183,0.358862,0.329734,0.342434,0.323052,0.322511,0.102758,1
829,'2022/02/21 23:49:38:762',4,0.326444,0.40884,0.369832,0.238352,0.443874,0.096151,0.371909,0.303379,0.358373,0.291951,0.343622,0.07831,1
830,'2022/02/21 23:49:38:860',4,0.349629,0.397443,0.390134,0.22322,0.471832,0.084883,0.397924,0.296766,0.385474,0.282866,0.372265,0.067969,1
831,'2022/02/21 23:49:38:960',4,0.35893,0.404491,0.399796,0.226397,0.476516,0.092522,0.414699,0.287262,0.396255,0.286639,0.387278,0.067511,1
832,'2022/02/21 23:49:39:060',4,0.356273,0.404274,0.398434,0.231941,0.471612,0.091147,0.40929,0.295113,0.390849,0.295454,0.385167,0.073554,1
833,'2022/02/21 23:49:39:153',4,0.353521,0.387733,0.39559,0.215158,0.467995,0.0751,0.401199,0.285451,0.387097,0.277109,0.381428,0.059863,1
834,'2022/02/21 23:49:39:253',4,0.355523,0.370584,0.393866,0.196875,0.465124,0.052305,0.402162,0.263839,0.386926,0.259887,0.379112,0.038389,1
835,'2022/02/21 23:49:39:352',4,0.358502,0.367779,0.399098,0.190956,0.465564,0.048878,0.407785,0.257137,0.391131,0.256464,0.380523,0.036454,1
836,'2022/02/21 23:49:39:451',4,0.359517,0.375413,0.398622,0.188873,0.463437,0.046808,0.408173,0.257083,0.392455,0.255757,0.375596,0.036791,1
837,'2022/02/21 23:49:39:550',4,0.357147,0.377868,0.395225,0.196063,0.458115,0.048184,0.403631,0.260566,0.387766,0.262593,0.37042,0.041536,1
838,'2022/02/21 23:49:39:650',4,0.355683,0.374909,0.393881,0.198389,0.455519,0.041819,0.402536,0.259625,0.386326,0.262674,0.367581,0.03957,1
839,'2022/02/21 23:49:39:750',4,0.355689,0.371881,0.39172,0.191166,0.455791,0.040936,0.402354,0.253512,0.387671,0.253132,0.367221,0.036505,1
840,'2022/02/21 23:49:39:849',4,0.356156,0.372252,0.394623,0.188684,0.457742,0.042099,0.402999,0.255734,0.386306,0.258376,0.367457,0.036267,1
841,'2022/02/21 23:49:39:949',4,0.354367,0.37176,0.389881,0.18653,0.452792,0.042104,0.402423,0.25432,0.385117,0.259353,0.364261,0.036805,1
842,'2022/02/21 23:49:40:048',4,0.351099,0.373967,0.387619,0.194945,0.450538,0.043669,0.397443,0.256668,0.382143,0.257222,0.361646,0.038512,1
843,'2022/02/21 23:49:40:148',4,0.34785,0.377016,0.384679,0.195319,0.447206,0.046973,0.394515,0.259768,0.378634,0.261724,0.35803,0.040704,1
844,'2022/02/21 23:49:40:247',4,0.344372,0.380738,0.378051,0.199844,0.443031,0.048339,0.388704,0.263803,0.373894,0.261567,0.35144,0.044826,1
